Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,HDOP,Altitude,UTM_easting,UTM_northing,UTC,Zone,Letter
1696983236.3077059,0,836,0,GPS1_Frame,42.340050000000005,-71.08929666666667,1.0,14.8,327890.0998930749,4689646.740185192,,19,T
1696983237.3100824,0,837,0,GPS1_Frame,42.340050000000005,-71.08929666666667,1.0,14.8,327890.0998930749,4689646.740185192,,19,T
1696983238.3279538,0,838,0,GPS1_Frame,42.340046666666666,-71.08929666666667,1.0,14.7,327890.0907982276,4689646.370043761,,19,T
1696983239.3096266,0,839,0,GPS1_Frame,42.34004166666667,-71.08929333333334,1.0,14.6,327890.3517573322,4689645.808084316,,19,T
1696983240.3095999,0,840,0,GPS1_Frame,42.34003333333333,-71.08929166666667,1.0,14.2,327890.46632096136,4689644.879357095,,19,T
1696983241.310476,0,841,0,GPS1_Frame,42.340025,-71.08928833333333,1.0,14.0,327890.718185353,4689643.947256237,,19,T
1696983242.3275328,0,842,0,GPS1_Frame,42.34001833333333,-71.08928333333333,1.0,13.9,327891.1118979533,4689643.196852475,,19,T
1696983243.3290193,0,843,0,GPS1_Frame,42.34001333333334,-71.08927999999999,1.0,13.8,327891.37285727577,4689642.6348930765,,19,T
1696983244.3277156,0,844,0,GPS1_Frame,42.340006666666675,-71.089275,1.0,13.8,327891.76657002885,4689641.884489357,,19,T
1696983245.308305,0,845,0,GPS1_Frame,42.339999999999996,-71.08927166666668,1.0,13.6,327892.02298209455,4689641.1374592725,,19,T
1696983246.3075712,0,846,0,GPS1_Frame,42.339995,-71.08926666666666,1.0,13.5,327892.4212423654,4689640.572126308,,19,T
1696983247.308748,0,847,0,GPS1_Frame,42.33998833333333,-71.08926166666667,1.0,13.3,327892.81495536055,4689639.8217226565,,19,T
1696983248.3272517,0,848,0,GPS1_Frame,42.339983333333336,-71.08925666666667,1.0,13.2,327893.2132157759,4689639.256389743,,19,T
1696983249.3262768,0,849,0,GPS1_Frame,42.33997666666667,-71.08925333333333,1.0,13.2,327893.469628113,4689638.509359723,,19,T
1696983250.32544,0,850,0,GPS1_Frame,42.33996833333334,-71.08924666666667,1.0,12.8,327893.99609488447,4689637.570511854,,19,T
1696983251.3286402,0,851,0,GPS1_Frame,42.339960000000005,-71.08924,1.0,12.5,327894.5225618047,4689636.631664029,,19,T
1696983252.3101938,0,852,0,GPS1_Frame,42.33995,-71.08923499999999,1.0,12.4,327894.90718071524,4689635.511119089,,19,T
1696983253.3112562,0,853,0,GPS1_Frame,42.33994166666666,-71.08922833333332,1.0,12.3,327895.4336479299,4689634.572271345,,19,T
1696983254.311561,0,854,0,GPS1_Frame,42.33993333333333,-71.08922166666666,1.0,12.4,327895.9601152934,4689633.633423644,,19,T
1696983255.3107708,0,855,0,GPS1_Frame,42.339924999999994,-71.089215,1.0,12.6,327896.4865828076,4689632.694575991,,19,T
1696983256.3089762,0,856,0,GPS1_Frame,42.339911666666666,-71.08920833333333,1.0,13.1,327896.99940881226,4689631.20051625,,19,T
1696983257.3076243,0,857,0,GPS1_Frame,42.33990333333333,-71.08920166666667,1.0,13.0,327897.52587666747,4689630.261668686,,19,T
1696983258.326356,0,858,0,GPS1_Frame,42.33989499999999,-71.08919666666667,1.0,13.1,327897.9150436665,4689629.326194654,,19,T
1696983259.3267267,0,859,0,GPS1_Frame,42.33988666666667,-71.08919166666666,1.0,13.1,327898.3042107802,4689628.390720652,,19,T
1696983260.307205,0,860,0,GPS1_Frame,42.33987833333334,-71.08918666666666,1.0,13.0,327898.6933780041,4689627.455246675,,19,T
1696983261.307898,0,861,0,GPS1_Frame,42.339870000000005,-71.08918166666668,1.0,13.0,327899.0825453406,4689626.519772721,,19,T
1696983262.327411,0,862,0,GPS1_Frame,42.33986333333334,-71.089175,1.0,13.0,327899.61356101115,4689625.765996049,,19,T
1696983263.32662,0,863,0,GPS1_Frame,42.33985500000001,-71.08917166666667,1.0,13.1,327899.8654274851,4689624.833895602,,19,T
1696983264.3306005,0,864,0,GPS1_Frame,42.339845,-71.08916833333333,1.0,13.1,327900.1127469111,4689623.716724461,,19,T
1696983265.3267698,0,865,0,GPS1_Frame,42.33983666666666,-71.08916500000001,1.0,13.2,327900.36461354763,4689622.784624041,,19,T
1696983266.3268952,0,866,0,GPS1_Frame,42.33982833333333,-71.08916166666667,1.0,13.1,327900.6164802582,4689621.852523631,,19,T
1696983267.30935,0,867,0,GPS1_Frame,42.339819999999996,-71.08915666666667,1.0,13.1,327901.0056482173,4689620.91704981,,19,T
1696983268.3117955,0,868,0,GPS1_Frame,42.33981000000001,-71.08915333333333,1.0,13.2,327901.25296801,4689619.799878726,,19,T
1696983269.3095787,0,869,0,GPS1_Frame,42.3398,-71.08915,1.0,13.4,327901.50028789305,4689618.682707653,,19,T
1696983270.3101413,0,870,0,GPS1_Frame,42.33979166666666,-71.08914499999999,1.0,13.4,327901.88945617864,4689617.747233895,,19,T
1696983271.32921,0,871,0,GPS1_Frame,42.33978333333333,-71.08914166666666,1.0,13.5,327902.1413233226,4689616.815133558,,19,T
1696983272.3290272,0,872,0,GPS1_Frame,42.33977333333334,-71.08913833333332,1.0,13.7,327902.3886434904,4689615.697962531,,19,T
1696983273.3129237,0,873,0,GPS1_Frame,42.33976333333333,-71.08913333333334,1.0,13.9,327902.77326503955,4689614.577418127,,19,T
1696983274.3112206,0,874,0,GPS1_Frame,42.339755,-71.08913,1.0,14.0,327903.0251324505,4689613.645317834,,19,T
1696983275.3110056,0,875,0,GPS1_Frame,42.33974666666666,-71.08912666666667,1.0,14.1,327903.2769999336,4689612.7132175565,,19,T
1696983276.311083,0,876,0,GPS1_Frame,42.33973833333333,-71.08912333333333,1.0,14.1,327903.5288674949,4689611.781117287,,19,T
1696983277.311836,0,877,0,GPS1_Frame,42.339729999999996,-71.08912000000001,1.0,14.1,327903.78073513246,4689610.849017032,,19,T
1696983278.311471,0,878,0,GPS1_Frame,42.33972166666668,-71.08911499999999,1.0,14.2,327904.1699042282,4689609.913543434,,19,T
1696983279.3113775,0,879,0,GPS1_Frame,42.339713333333336,-71.08910999999999,1.0,14.2,327904.5590734364,4689608.978069859,,19,T
1696983280.3121018,0,880,0,GPS1_Frame,42.339705,-71.089105,1.0,14.3,327904.94824275706,4689608.042596312,,19,T
1696983281.3129847,0,881,0,GPS1_Frame,42.33969833333334,-71.08909833333334,1.0,14.4,327905.4792605891,4689607.288820164,,19,T
1696983282.3137784,0,882,0,GPS1_Frame,42.339690000000004,-71.08909333333332,1.0,14.6,327905.86843014334,4689606.353346675,,19,T
1696983283.313635,0,883,0,GPS1_Frame,42.33968333333334,-71.08908833333334,1.0,14.8,327906.26214674336,4689605.602943916,,19,T
1696983284.31286,0,884,0,GPS1_Frame,42.339676666666676,-71.089085,1.0,15.0,327906.5185619574,4689604.855914488,,19,T
1696983285.314024,0,885,0,GPS1_Frame,42.339668333333336,-71.08908,1.0,15.1,327906.90773180546,4689603.920441069,,19,T
1696983286.31315,0,886,0,GPS1_Frame,42.33966,-71.08907333333333,1.0,15.3,327907.43420328404,4689602.9815943865,,19,T
1696983287.3138587,0,887,0,GPS1_Frame,42.33965333333334,-71.08906666666667,1.0,15.5,327907.96522179706,4689602.227818453,,19,T
1696983288.3132155,0,888,0,GPS1_Frame,42.339645000000004,-71.08906166666667,1.0,15.9,327908.3543920071,4689601.292345127,,19,T
1696983289.3337834,0,889,0,GPS1_Frame,42.33963833333334,-71.08905666666666,1.0,16.3,327908.7481091966,4689600.541942529,,19,T
1696983290.3139822,0,890,0,GPS1_Frame,42.33963000000001,-71.08905166666666,1.0,16.5,327909.13727962004,4689599.606469256,,19,T
1696983291.314248,0,891,0,GPS1_Frame,42.339623333333336,-71.08904666666668,1.0,16.9,327909.53099699755,4689598.856066709,,19,T
1696983292.3137362,0,892,0,GPS1_Frame,42.33961666666667,-71.08904333333334,1.0,17.1,327909.7874128522,4689598.109037425,,19,T
1696983293.3333285,0,893,0,GPS1_Frame,42.33960833333334,-71.08904000000001,1.0,17.4,327910.0392819436,4689597.1769374525,,19,T
1696983294.3332,0,894,0,GPS1_Frame,42.339601666666674,-71.089035,1.0,17.6,327910.43299957376,4689596.4265349675,,19,T
1696983295.3337734,0,895,0,GPS1_Frame,42.33959333333334,-71.08903000000001,1.0,17.7,327910.8221704884,4689595.491061807,,19,T
1696983296.3132534,0,896,0,GPS1_Frame,42.33958500000001,-71.089025,1.0,17.8,327911.21134151565,4689594.555588672,,19,T
1696983297.3139307,0,897,0,GPS1_Frame,42.339576666666666,-71.08901999999999,1.0,17.9,327911.6005126552,4689593.620115561,,19,T
1696983298.3109014,0,898,0,GPS1_Frame,42.33957,-71.08901333333333,1.0,18.1,327912.13153238886,4689592.866339988,,19,T
1696983299.331917,0,899,0,GPS1_Frame,42.33956166666667,-71.08900666666666,1.0,18.2,327912.6580054916,4689591.9274937585,,19,T
1696983300.3314111,0,900,0,GPS1_Frame,42.339553333333335,-71.08900333333332,1.0,18.4,327912.90987524553,4689590.995393913,,19,T
1696983301.331459,0,901,0,GPS1_Frame,42.339545,-71.08899666666666,1.0,18.5,327913.4363486074,4689590.056547755,,19,T
1696983302.3307233,0,902,0,GPS1_Frame,42.33953666666666,-71.08899166666667,1.0,18.7,327913.82552033395,4689589.121074793,,19,T
1696983303.3112662,0,903,0,GPS1_Frame,42.339529999999996,-71.08898666666667,1.0,19.0,327914.2192388758,4689588.370672553,,19,T
1696983304.3110836,0,904,0,GPS1_Frame,42.33952333333333,-71.08898166666667,1.0,19.1,327914.6129575068,4689587.620270339,,19,T
1696983305.3112164,0,905,0,GPS1_Frame,42.33951666666667,-71.08897666666667,1.0,19.3,327915.00667622936,4689586.86986815,,19,T
