Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1700086990.3456047,0,80590,0,GPS1_Frame,42.33654833333333,-71.09255666666667,18.3,1.3,327611.9710217244,4689264.510657918,0.0,19,T
1700086991.345745,0,80591,0,GPS1_Frame,42.33654833333333,-71.09255833333333,18.3,1.3,327611.8337133984,4689264.514036803,0.0,19,T
1700086992.3454418,0,80592,0,GPS1_Frame,42.33654833333333,-71.09255833333333,18.3,1.3,327611.8337133984,4689264.514036803,0.0,19,T
1700086993.3356931,0,80593,0,GPS1_Frame,42.33655,-71.09256,18.3,1.3,327611.70095929835,4689264.702486342,0.0,19,T
1700086994.3350887,0,80594,0,GPS1_Frame,42.33655333333333,-71.09256833333333,18.3,1.3,327611.02352618333,4689265.089522124,0.0,19,T
1700086995.333646,0,80595,0,GPS1_Frame,42.33655999999999,-71.092585,18.6,1.3,327609.6686601677,4689265.863593895,0.0,19,T
1700086996.3330908,0,80596,0,GPS1_Frame,42.33657,-71.09261,18.7,1.3,327607.6363616887,4689267.024702063,0.0,19,T
1700086997.3311467,0,80597,0,GPS1_Frame,42.33658333333333,-71.09264333333334,19.0,1.3,327604.92663140624,4689268.572847235,0.0,19,T
1700086998.3385816,0,80598,0,GPS1_Frame,42.3366,-71.09268833333334,19.2,1.3,327601.2648537657,4689270.514788414,0.0,19,T
1700086999.3298917,0,80599,0,GPS1_Frame,42.336619999999996,-71.09274166666667,19.2,1.3,327596.92564645945,4689272.84376877,0.0,19,T
1700087000.3280234,0,80600,0,GPS1_Frame,42.33664,-71.09280166666667,19.2,1.3,327592.03720944,4689275.186269005,0.0,19,T
1700087001.3283436,0,80601,0,GPS1_Frame,42.336664999999996,-71.092865,19.6,1.3,327586.887824094,4689278.090743492,0.0,19,T
1700087002.326524,0,80602,0,GPS1_Frame,42.33668666666667,-71.09292833333333,19.9,1.3,327581.7293328233,4689280.62508058,0.0,19,T
1700087003.325936,0,80603,0,GPS1_Frame,42.33670666666667,-71.09298333333332,20.1,1.3,327577.2528298792,4689282.9574530125,0.0,19,T
1700087004.3258846,0,80604,0,GPS1_Frame,42.33672166666667,-71.09302166666666,20.6,1.3,327574.1357434745,4689284.700819909,0.0,19,T
1700087005.3242579,0,80605,0,GPS1_Frame,42.33673,-71.09304333333333,21.0,1.3,327572.37351658207,4689285.670108733,0.0,19,T
1700087006.3253336,0,80606,0,GPS1_Frame,42.336735,-71.09305666666667,21.2,1.3,327571.2887190908,4689286.252358185,0.0,19,T
1700087007.323326,0,80607,0,GPS1_Frame,42.33673999999999,-71.09307,21.6,1.3,327570.2039217743,4689286.834607812,0.0,19,T
1700087008.3236187,0,80608,0,GPS1_Frame,42.336745,-71.09308666666668,22.0,1.3,327568.8445088287,4689287.423617092,0.0,19,T
1700087009.3218968,0,80609,0,GPS1_Frame,42.33675166666667,-71.09310833333333,22.3,1.3,327567.0777278742,4689288.207836627,0.0,19,T
1700087010.3235865,0,80610,0,GPS1_Frame,42.336761666666675,-71.09313166666668,22.5,1.3,327565.18275039986,4689289.365577764,0.0,19,T
1700087011.3213694,0,80611,0,GPS1_Frame,42.336769999999994,-71.093155,22.4,1.3,327563.28321800055,4689290.338248767,0.0,19,T
1700087012.3264809,0,80612,0,GPS1_Frame,42.33677666666667,-71.093175,22.5,1.3,327561.65374618047,4689291.1190898605,0.0,19,T
1700087013.3186076,0,80613,0,GPS1_Frame,42.33678499999999,-71.09319666666667,22.6,1.3,327559.8915225237,4689292.088381929,0.0,19,T
